gen,nevals,avg,std,min,max
0,300,356.85246666666666,19.30452763599486,299.13999999999993,409.16000000000025
1,238,343.54393333333337,15.981609155387186,296.1200000000001,386.4200000000001
2,221,333.45666666666665,15.504925310651734,291.52000000000004,374.36
3,234,325.694,15.988617993226724,280.82000000000005,370.03999999999996
4,226,319.93226666666664,14.985552471037641,286.92,377.44000000000005
5,208,311.9119333333333,13.836944951670354,278.78,356.68000000000006
6,229,308.688,15.326114967596968,269.48,363.69999999999993
7,225,304.7962,15.788846112366793,256.28000000000003,348.92000000000013
8,243,301.19933333333336,15.24102453540735,256.28000000000003,342.8800000000001
9,219,297.87660000000005,15.498235440634309,266.7800000000001,338.08000000000004
10,223,293.6068,15.794332710184372,255.67999999999995,344.4599999999999
11,223,288.4663333333333,14.98072872800994,248.3,332.94
12,223,284.768,16.248649174623726,248.3,349.0399999999999
13,237,283.51206666666667,15.881969894471185,246.95999999999995,333.9199999999999
14,227,279.44680000000005,15.301379167469412,238.5399999999999,334.56
15,239,275.74486666666667,16.320695869015182,230.95999999999995,339.46000000000015
16,236,272.0378,16.59699399971775,230.95999999999995,330.9
17,236,272.25066666666663,17.627560567348954,230.95999999999995,338.46000000000004
18,218,268.29526666666663,16.00394468859336,230.09999999999994,324.69999999999993
19,221,264.99960000000004,17.278658353780447,228.3199999999999,359.26
20,218,260.96466666666663,15.456936551450147,228.3199999999999,321.58
21,222,259.4930666666666,16.770050683551585,223.91999999999996,331.6799999999998
22,228,256.6582666666666,14.397842048801007,228.81999999999994,306.7800000000001
23,210,255.87286666666662,17.23327474535495,215.44,318.4999999999999
24,232,252.34226666666663,15.899823233678479,215.44,313.5199999999999
25,238,249.0355333333333,15.723971679643215,218.88,306.4000000000001
26,236,250.72199999999998,17.21142012347228,212.77999999999997,310.14
27,234,248.63399999999993,17.927438002495872,211.79999999999998,332.4200000000001
28,229,247.70473333333334,17.523487635995544,211.79999999999998,293.59999999999997
29,234,245.1152,17.31741761810923,213.72000000000003,314.61999999999995
30,228,245.30246666666665,19.027709633993144,214.68,311.99999999999994
31,223,241.77666666666667,15.99101654749385,209.71999999999997,310.64000000000004
32,238,241.63066666666666,14.963461839501647,209.71999999999997,284.29999999999995
33,243,244.08933333333334,16.672431003172736,211.98,312.79999999999995
34,219,242.1808,17.189435574212432,212.77999999999997,305.37999999999994
35,237,242.61306666666667,17.81714208084138,210.29999999999995,308.70000000000005
36,220,240.81286666666662,18.669655195411504,205.95999999999998,314.42
37,225,238.9817333333333,18.564147515993184,205.95999999999998,318.2199999999999
38,232,238.54113333333333,18.11932206372217,205.95999999999998,321.6
39,229,238.18426666666662,17.40040583230428,205.95999999999998,310.0
40,226,239.27619999999996,17.914622488161275,205.89999999999998,311.85999999999996
41,221,239.32166666666666,17.533813006746584,207.43999999999997,317.73999999999995
42,222,239.1082666666667,18.594631581782476,197.03999999999994,302.14000000000004
43,224,236.61660000000003,17.90100236783777,197.03999999999994,311.1599999999999
44,227,233.26639999999995,17.67015084938439,194.11999999999995,299.42
45,213,231.52446666666665,18.690215266699195,194.11999999999995,309.4599999999999
46,232,229.14606666666666,17.71730586730262,192.79999999999993,292.9
47,220,226.07626666666667,18.201868239154898,192.79999999999993,306.2200000000001
48,207,221.3484666666666,17.465370660697577,192.79999999999993,290.97999999999996
49,218,218.29446666666664,14.764674780780727,192.79999999999993,267.82
50,221,219.31899999999993,17.25744578435639,192.79999999999993,283.4800000000001
51,222,217.43999999999994,14.692194390219592,192.79999999999993,279.28
52,240,217.62339999999998,16.79351391976478,192.79999999999993,270.4599999999999
53,221,215.68466666666663,17.442764905701033,186.88000000000002,307.5199999999999
54,230,215.14659999999995,17.877060173305903,187.41999999999996,303.8399999999999
55,216,215.1259333333333,19.539376400716808,179.61999999999998,301.26
56,235,213.5348666666666,19.154221440252336,177.29999999999998,281.21999999999997
57,230,211.79846666666666,17.094446865835966,177.29999999999998,291.12
58,235,213.84233333333333,18.699140119861728,175.23999999999998,275.13999999999993
59,237,212.11419999999993,18.1918769334008,175.23999999999998,277.2799999999999
60,236,208.52993333333328,17.396464123365867,175.61999999999992,269.14
61,231,208.55759999999995,20.020843328225048,176.6,289.47999999999996
62,229,204.9839333333333,18.415480132999228,172.91999999999993,289.3800000000001
63,227,203.71686666666662,19.311649528602047,172.91999999999993,306.6
64,220,202.83866666666663,18.77802867419498,172.37999999999994,294.9799999999999
65,231,202.5007333333333,19.41423994895385,173.83999999999995,290.25999999999993
66,221,198.93819999999994,16.025204588189606,165.48000000000002,263.33999999999986
67,209,197.37746666666663,16.87336359222889,164.57999999999993,274.31999999999994
68,212,198.6331333333333,20.06396064711274,161.93999999999994,271.24
69,246,197.17759999999996,18.36880673605845,161.44,280.0799999999999
70,250,199.86113333333333,18.91659328161976,161.44,281.59999999999997
71,237,198.7865333333333,19.099717903210564,160.91999999999993,281.53999999999996
72,234,198.33339999999998,20.63339817965039,160.91999999999993,295.8599999999999
73,232,196.241,19.535160105136924,160.91999999999993,268.4399999999999
74,217,194.09506666666667,17.41418937712066,160.91999999999993,274.67999999999995
75,238,194.43126666666666,20.53261859567736,160.91999999999993,280.61999999999995
76,215,191.6515333333333,17.637845493395407,160.91999999999993,266.82
77,235,192.98906666666667,18.809234552799385,165.64000000000001,291.0
78,228,190.06959999999998,16.951242112993764,160.48000000000005,251.49999999999991
79,221,188.67659999999998,17.92109127369201,160.48000000000005,259.96000000000004
80,223,187.19133333333332,17.142702068875312,162.21999999999997,256.4199999999999
81,228,187.79826666666665,20.976054149010533,157.48,283.02
82,221,186.86946666666665,19.413188602482467,156.07999999999998,251.47999999999988
83,228,183.87833333333333,19.27025060956798,156.07999999999998,263.02000000000004
84,234,183.72653333333332,19.874787377870366,149.22,269.66
85,228,183.79066666666668,20.17087989046474,149.22,282.1599999999998
86,238,182.40413333333336,19.550463564381833,149.22,279.99999999999994
87,227,181.6332666666667,18.97192722583085,149.22,250.85999999999999
88,224,179.44420000000002,18.56424562683151,149.22,257.73999999999984
89,230,179.03940000000003,18.751397556093416,150.54000000000005,262.61999999999995
90,216,178.59793333333334,18.758427858668977,151.24,246.07999999999993
91,219,176.57386666666667,19.574110104477842,151.24000000000004,262.7799999999999
92,220,176.86720000000003,20.804264598714678,152.34,257.34000000000003
93,227,174.87580000000003,18.87593839680559,146.42000000000002,262.67999999999995
94,238,175.05733333333336,20.30266047152988,148.21999999999997,246.99999999999994
95,234,175.05886666666672,20.988343559752916,146.2,255.28
96,219,171.86873333333335,17.324200483588136,146.2,242.8
